id,Age,Gender,Edu,Employment,Income,Group,Producttype,Ideal_1,Ideal_2,Idealscore,Prefer1,Luxcheck
83,25,0,7,2,1,1,2,6,6,6,7,2
85,33,0,7,1,3,1,2,6,5,5.5,5,4
88,21,1,6,3,1,1,2,6,5,5.5,2,6
92,40,0,8,3,4,1,2,3,4,3.5,1,4
98,37,0,8,2,6,1,2,2,3,2.5,5,6
100,22,0,7,5,6,1,2,5,3,4,2,7
101,26,1,7,1,4,1,2,5,4,4.5,2,7
111,38,1,8,1,6,1,2,6,5,5.5,5,6
112,27,1,7,3,4,1,2,6,6,6,1,5
115,24,0,7,5,2,1,2,7,7,7,2,7
122,23,0,4,2,3,1,2,6,5,5.5,2,2
